name,mana,card_text,attack,health,durability,class,card_type,rarity,card_mark,minion_type,spell_school
a-light-in-the-darkness,2,Discover a minion  Give it +1/+1 ,,,,['Paladin'],Spell,Common,3.6,,Holy
a-new-challenger,7,Discover a 6-Cost minion  Summon it with Taunt and Divine Shield ,,,,['Paladin'],Spell,Epic,3.8,,
aberrant-berserker,4,Enrage :  +2 Attack ,3.0,5.0,,['Neutral'],Minion,Common,2.8,,
abominable-bowman,7,Deathrattle :  Summon a random friendly Beast that died this game ,6.0,7.0,,['Hunter'],Minion,Epic,3.2,,
abominable-lieutenant,8,At the end of your turn  eat a random enemy minion and gain its stats ,3.0,5.0,,['Neutral'],Minion,Epic,3.1,,
abomination,5,Taunt  Deathrattle :  Deal 2 damage to ALL characters ,4.0,4.0,,['Neutral'],Minion,Rare,3.0,,
abusive-sergeant,1,Battlecry :  Give a minion +2 Attack this turn ,1.0,1.0,,['Neutral'],Minion,Common,3.7,,
abyssal-depths,3,Draw your two lowest Cost minions ,,,,"['Hunter', 'Demon Hunter']",Spell,Common,2.1,,Shadow
abyssal-enforcer,7,Battlecry :  Deal 3 damage to all other characters ,6.0,6.0,,['Warlock'],Minion,Common,4.5,['Demon'],
abyssal-summoner,6,Battlecry :  Summon a Demon with Taunt and stats equal to your hand size ,2.0,2.0,,['Warlock'],Minion,Common,3.8,,
abyssal-wave,6,Deal 4 damage to all minions  Give your opponent an Abyssal Curse ,,,,['Warlock'],Spell,Epic,2.6,,Shadow
academic-espionage,4,Shuffle 10 cards from your opponent's class into your deck  They cost (1) ,,,,[],Spell,Epic,4.4,,
ace-hunter-kreen,3,Your other characters are Immune while attacking ,2.0,4.0,,"['Hunter', 'Demon Hunter']",Minion,Legendary,4.5,,
acherus-veteran,1,Battlecry :  Give a friendly minion +1 Attack ,2.0,1.0,,['Neutral'],Minion,Common,3.2,,
acidic-swamp-ooze,2,Battlecry :  Destroy your opponent's weapon ,3.0,2.0,,['Neutral'],Minion,Rare,4.1,,
acidmaw,7,Whenever another minion takes damage  destroy it ,4.0,2.0,,['Hunter'],Minion,Legendary,2.0,['Beast'],
acolyte-of-agony,3,Lifesteal,3.0,3.0,,['Priest'],Minion,Common,2.7,,
acolyte-of-death,3,After a friendly Undead dies  draw a card ,3.0,4.0,,['Death Knight'],Minion,Common,3.6,,
acolyte-of-pain,3,Whenever this minion takes damage  draw a card ,1.0,3.0,,['Neutral'],Minion,Common,4.5,,
acornbearer,1,Deathrattle :  Add two 1/1 Squirrels into your hand ,2.0,1.0,,['Druid'],Minion,Common,4.0,,
acrobatics,3,Draw 2 cards  If you play both this turn  draw 2 more ,,,,"['Hunter', 'Demon Hunter']",Spell,Common,4.1,,
activate-the-obelisk,1,Quest :  Restore 15 Health Reward :  Obelisk's Eye ,,,,['Priest'],Spell,Legendary,4.3,,
adaptation,1,Adapt a friendly minion ,,,,['Paladin'],Spell,Common,3.6,,
addled-grizzly,3,After you summon a minion  give it +1/+1 ,2.0,2.0,,['Druid'],Minion,Rare,3.3,['Beast'],
adorable-infestation,1,Give a minion +1/+1  Summon a 1/1 Cub  Add a Cub to your hand ,,,,"['Hunter', 'Druid']",Spell,Common,4.1,,
aegwynn-the-guardian,5,Spell Damage +2Deathrattle :  The next minion you draw inherits these powers ,5.0,5.0,,['Mage'],Minion,Legendary,3.8,,
aeon-reaver,6,Battlecry :  Deal damage to a minion equal to its Attack ,4.0,4.0,,['Priest'],Minion,Common,3.6,['Dragon'],
aeroponics,5,Draw 2 cards  Costs (2) less for each Treant you control ,,,,['Druid'],Spell,Rare,4.0,,Nature
