,name,cardSet,type,text,playerClass,rarity,health,mechanics,cost,attack,race,spellSchool,durability,Category,armor,multiClassGroup
99,Circle of Healing,Classic,Spell,Restore #4 Health to ALL_minions.,Priest,Common,,,0.0,,,Holy,,Classic,,
101,Inner Rage,Classic,Spell,Deal $1 damage to a minion and give it +2_Attack.,Warrior,Common,,,0.0,,,,,Classic,,
104,Preparation,Classic,Spell,The next spell you cast this turn costs (2) less.,Rogue,Epic,,,0.0,,,,,Classic,,
106,Shadowstep,Classic,Spell,Return a friendly minion to your hand. It_costs (2) less.,Rogue,Common,,,0.0,,,Shadow,,Classic,,
107,Silence,Classic,Spell,<b>Silence</b> a minion.,Priest,Common,,[{'name': 'Silence'}],0.0,,,Shadow,,Classic,,
108,Wisp,Classic,Minion,,Neutral,Common,1.0,,0.0,1.0,,,,Classic,,
109,Abusive Sergeant,Classic,Minion,<b>Battlecry:</b> Give a minion +2_Attack this turn.,Neutral,Common,1.0,[{'name': 'Battlecry'}],1.0,1.0,,,,Classic,,
110,Angry Chicken,Classic,Minion,Has +5 Attack while damaged.,Neutral,Rare,1.0,,1.0,1.0,Beast,,,Classic,,
111,Argent Squire,Classic,Minion,<b>Divine Shield</b>,Neutral,Common,1.0,[{'name': 'Divine Shield'}],1.0,1.0,,,,Classic,,
114,Bestial Wrath,Classic,Spell,Give a friendly Beast +2 Attack and <b>Immune</b> this turn.,Hunter,Epic,,,1.0,,,,,Classic,,
115,Blessing of Wisdom,Classic,Spell,"Choose a minion. Whenever it attacks, draw a card.",Paladin,Common,,,1.0,,,Holy,,Classic,,
116,Blood Imp,Classic,Minion,"[x]  <b>Stealth</b>. At the end of your  \nturn, give another random\n friendly minion +1 Health.",Warlock,Common,1.0,[{'name': 'Stealth'}],1.0,0.0,Demon,,,Classic,,
117,Bloodsail Corsair,Classic,Minion,[x]<b>Battlecry:</b> Remove\n1 Durability from your\nopponent's weapon.,Neutral,Rare,2.0,[{'name': 'Battlecry'}],1.0,1.0,Pirate,,,Classic,,
122,Dust Devil,Classic,Minion,<b>Windfury</b>. <b>Overload:</b> (2),Shaman,Common,1.0,"[{'name': 'Overload'}, {'name': 'Windfury'}]",1.0,3.0,Elemental,,,Classic,,
123,Earth Shock,Classic,Spell,"<b>Silence</b> a minion, then deal $1 damage to it.",Shaman,Common,,[{'name': 'Silence'}],1.0,,,Nature,,Classic,,
124,Eye for an Eye,Classic,Spell,"<b>Secret:</b> When your hero takes damage, deal_that much damage to the enemy hero.",Paladin,Common,,[{'name': 'Secret'}],1.0,,,Holy,,Classic,,
125,Flame Imp,Classic,Minion,<b>Battlecry:</b> Deal 3 damage to your hero.,Warlock,Common,2.0,[{'name': 'Battlecry'}],1.0,3.0,Demon,,,Classic,,
126,Flare,Classic,Spell,All minions lose <b>Stealth</b>. Destroy all enemy <b>Secrets</b>. Draw a card.,Hunter,Rare,,"[{'name': 'Stealth'}, {'name': 'Secret'}]",1.0,,,,,Classic,,
127,Forked Lightning,Classic,Spell,Deal $2 damage to 2_random enemy minions. <b>Overload:</b> (2),Shaman,Common,,[{'name': 'Overload'}],1.0,,,Nature,,Classic,,
130,Hungry Crab,Classic,Minion,<b>Battlecry:</b> Destroy a Murloc and gain +2/+2.,Neutral,Epic,2.0,[{'name': 'Battlecry'}],1.0,1.0,Beast,,,Classic,,
132,Inner Fire,Classic,Spell,Change a minion's Attack to be equal to its Health.,Priest,Common,,,1.0,,,,,Classic,,
134,Leper Gnome,Classic,Minion,<b>Deathrattle:</b> Deal 2 damage to the enemy_hero.,Neutral,Common,1.0,[{'name': 'Deathrattle'}],1.0,2.0,,,,Classic,,
135,Lightning Bolt,Classic,Spell,Deal $3 damage. <b>Overload:</b> (1),Shaman,Common,,[{'name': 'Overload'}],1.0,,,Nature,,Classic,,
136,Lightwarden,Classic,Minion,"Whenever a character is healed, gain +2 Attack.",Neutral,Rare,2.0,,1.0,1.0,,,,Classic,,
137,Mana Wyrm,Classic,Minion,"Whenever you cast a spell, gain +1 Attack.",Mage,Common,2.0,,1.0,1.0,,,,Classic,,
138,Murloc Tidecaller,Classic,Minion,"Whenever you summon a Murloc, gain +1 Attack.",Neutral,Rare,2.0,,1.0,1.0,Murloc,,,Classic,,
139,Noble Sacrifice,Classic,Spell,"<b>Secret:</b> When an enemy attacks, summon a 2/1 Defender as the new target.",Paladin,Common,,[{'name': 'Secret'}],1.0,,,,,Classic,,
140,Redemption,Classic,Spell,"<b>Secret:</b> When a friendly minion dies, return it to life with 1 Health.",Paladin,Common,,[{'name': 'Secret'}],1.0,,,Holy,,Classic,,
141,Repentance,Classic,Spell,"<b>Secret:</b> After your opponent plays a minion, reduce its Health to 1.",Paladin,Common,,[{'name': 'Secret'}],1.0,,,Holy,,Classic,,
