mana,card_text,attack,health,class,rarity,card_mark,minion_type,spell_school
2,Discover a minion  Give it +1/+1 ,,,['Paladin'],Common,3.6,,Holy
7,Discover a 6-Cost minion  Summon it with Taunt and Divine Shield ,,,['Paladin'],Epic,3.8,,
4,Enrage :  +2 Attack ,3.0,5.0,['Neutral'],Common,2.8,,
7,Deathrattle :  Summon a random friendly Beast that died this game ,6.0,7.0,['Hunter'],Epic,3.2,,
8,At the end of your turn  eat a random enemy minion and gain its stats ,3.0,5.0,['Neutral'],Epic,3.1,,
5,Taunt  Deathrattle :  Deal 2 damage to ALL characters ,4.0,4.0,['Neutral'],Rare,3.0,,
1,Battlecry :  Give a minion +2 Attack this turn ,1.0,1.0,['Neutral'],Common,3.7,,
3,Draw your two lowest Cost minions ,,,"['Hunter', 'Demon Hunter']",Common,2.1,,Shadow
7,Battlecry :  Deal 3 damage to all other characters ,6.0,6.0,['Warlock'],Common,4.5,['Demon'],
6,Battlecry : Summon a Demon withTaunt and stats equal to your hand size ,2.0,2.0,['Warlock'],Common,3.8,,
6,Deal 4 damage to all minions  Give your opponent an Abyssal Curse ,,,['Warlock'],Epic,2.6,,Shadow
4,Shuffle 10 cards from your opponent's class into your deck  They cost (1) ,,,[],Epic,4.4,,
3,Your other characters areImmune while attacking ,2.0,4.0,"['Hunter', 'Demon Hunter']",Legendary,4.5,,
1,Battlecry :  Give a friendly minion +1 Attack ,2.0,1.0,['Neutral'],Common,3.2,,
2,Battlecry :  Destroy your opponent's weapon ,3.0,2.0,['Neutral'],Rare,4.1,,
7,Whenever another minion takes damage  destroy it ,4.0,2.0,['Hunter'],Legendary,2.0,['Beast'],
3,Lifesteal,3.0,3.0,['Priest'],Common,2.7,,
3,After a friendly Undead dies  draw a card ,3.0,4.0,['Death Knight'],Common,3.6,,
3,Whenever this minion takes damage  draw a card ,1.0,3.0,['Neutral'],Common,4.5,,
1,Deathrattle : Add two 1/1 Squirrels into your hand ,2.0,1.0,['Druid'],Common,4.0,,
3,Draw 2 cards  If you play both this turn  draw 2 more ,,,"['Hunter', 'Demon Hunter']",Common,4.1,,
1,Quest : Restore 15 Health Reward : Obelisk's Eye ,,,['Priest'],Legendary,4.3,,
1,Adapt a friendly minion ,,,['Paladin'],Common,3.6,,
3,After you summon a minion  give it +1/+1 ,2.0,2.0,['Druid'],Rare,3.3,['Beast'],
1,Give a minion +1/+1  Summon a 1/1 Cub  Add a Cub to your hand ,,,"['Hunter', 'Druid']",Common,4.1,,
5,Spell Damage +2Deathrattle : The next minion you draw inherits these powers ,5.0,5.0,['Mage'],Legendary,3.8,,
6,Battlecry : Deal damage to a minion equal to its Attack ,4.0,4.0,['Priest'],Common,3.6,['Dragon'],
5,Draw 2 cards  Costs (2) less for each Treant you control ,,,['Druid'],Rare,4.0,,Nature
3,YourInfusecards alsoInfusewhile in your deck ,3.0,4.0,['Neutral'],Rare,3.1,,
5,Destroy ALL odd-Attack minions ,,,['Priest'],Epic,2.7,,Holy
3,Deal 3 damage  Your next Hero Power deals 2 more damage ,,,['Hunter'],Common,4.7,,
1,Can't be targeted by spells or Hero Powers ,2.0,1.0,['Shaman'],Common,3.5,['Elemental'],
1,Battlecry : Give your weapon +1 Durability ,1.0,1.0,['Neutral'],Common,2.6,,
2,TwinspellSummon two 1/1 Silver Hand Recruits withTaunt ,,,['Paladin'],Rare,3.6,,
8,Rush  Overkill :  Draw a Rush minion and give +5/+5 ,5.0,5.0,['Warrior'],Legendary,3.5,['Beast'],
3,StealthDeathrattle : Shuffle 'Akama Prime' into your deck ,3.0,4.0,['Rogue'],Legendary,4.0,,
8,Charge  Divine Shield  Taunt  Windfury,3.0,6.0,['Shaman'],Legendary,3.9,['Elemental'],
5,Deathrattle : Summon a 0/3 Ashes of Al'ar that resurrects this minion on your next turn ,7.0,3.0,['Neutral'],Legendary,1.9,['Elemental'],
3,At the start of your turn  swap this minion with a random one in your hand ,0.0,3.0,['Neutral'],Rare,2.3,['Mech'],
1,Battlecry : Reduce the Cost of your Librams by (1) this game ,1.0,3.0,['Paladin'],Common,4.3,,
3,Battlecry :  Change an enemy minion's Attack to 1 ,3.0,3.0,['Paladin'],Rare,4.5,,
5,Taunt  Battlecry : Reduce the Cost of your Librams by (2) this game ,4.0,6.0,['Paladin'],Rare,4.4,,
3,Lifesteal,2.0,,"['Hunter', 'Demon Hunter']",Common,4.1,,
7,Battlecry : For the rest of the game  deal 3 damage to your opponent at the end of your turn ,7.0,7.0,['Death Knight'],Legendary,4.6,,
9,Battlecry :  Set a hero's remaining Health to 15 ,8.0,8.0,['Neutral'],Legendary,4.6,['Dragon'],
9,Battlecry : Choose a character  If it's friendly  Restore 8 Health  If it's an enemy  deal 8 damage ,8.0,8.0,['Neutral'],Legendary,4.4,['Dragon'],
2,Battlecry :  If you're holding a Dragon  gain +1 Attack and Charge ,2.0,3.0,['Warrior'],Rare,4.1,,
5,Summon a friendly Demon that died this game Infuse (3 Demons) : Summon three instead ,,,"['Hunter', 'Demon Hunter']",Common,3.2,,Fel
5,TauntWhenever this minions deals damage  gain that much Armor ,2.0,7.0,['Warrior'],Rare,3.5,,
1,Battlecry :  Summon a 1/1 Cat ,1.0,1.0,['Hunter'],Common,4.3,['Beast'],
3,Battlecry : Draw a minion  Give minions in your hand +1/+1 ,2.0,2.0,['Paladin'],Common,4.6,,
1,Destroy top 3 cards of each deck ,,,['Warlock'],Epic,3.5,,Fire
5,LifestealDeal 6 damage to a minion  Costs (3) less if you'reOverloaded ,,,['Shaman'],Rare,3.3,,Nature
4,After you play the left- or right-most card in your hand  deal 1 damage to all enemies ,4.0,2.0,"['Hunter', 'Demon Hunter']",Legendary,4.1,,
6,At the end of your turn  draw 3 cards ,0.0,,['Mage'],Legendary,3.3,,
2,Battlecry : Choose a friendly minion Discover a minion of the same type ,2.0,3.0,['Neutral'],Epic,4.3,['Amalgam'],
2,Enrage :  +3 Attack,2.0,3.0,['Neutral'],Common,3.2,,
7,RushTaunt,5.0,7.0,['Neutral'],Common,2.6,['Beast'],
4,Battlecry : Put 3 Colossalminions on the bottom of your deck ,4.0,5.0,['Neutral'],Legendary,3.4,,
5,Battlecry : Restore 8 Health ,4.0,6.0,['Paladin'],Common,4.6,['Dragon'],
3,Battlecry : If you're holding a Dragon  deal 3 damage ,3.0,3.0,['Neutral'],Common,3.5,['Dragon'],
2,Secret : After your opponent plays a minion  summon a 2/3 Ambusher withPoisonous ,,,['Rogue'],Rare,3.6,,
3,You must be logged in to post a comment ,1.0,5.0,['Neutral'],Common,1.7,,
5,Battlecry : Discard a random Undead Deathrattle : Summon a copy of it ,5.0,3.0,['Warlock'],Epic,3.4,,
10,TauntDeathrattle : Deal 3 damage to all enemy minions ,6.0,12.0,['Neutral'],Common,1.6,['Beast'],
2,Battlecry : Your next Hero Power costs (0) andFreezes the target ,2.0,3.0,['Mage'],Common,4.4,['Elemental'],
3,TradeableResurrect 1 friendlyDeathrattleminion (Upgrades when Traded!),,,['Priest'],Common,4.1,,Shadow
7,Battlecry : Send all other minions 2 turns into the future ,8.0,8.0,['Paladin'],Legendary,4.6,['Dragon'],
4,Put a random minion from each player's hand into the battlefield ,,,['Shaman'],Epic,3.0,,
4,LifestealReborn,4.0,2.0,['Paladin'],Common,3.0,,
0,Restore a minion to full Health and give it Taunt ,,,['Shaman'],,2.3,,Nature
2,Draw 2 cards Overload :  (1),,,['Shaman'],Common,3.5,,
2,Choose a minion  When that minion is destroyed  return it to the battlefield ,,,['Shaman'],Rare,3.6,,
3,After your hero attacks  draw aPirate from your deck ,2.0,,['Warrior'],Legendary,3.5,,
2,After you summon a 1-Cost minion  give it +2/+1 ,0.0,3.0,['Shaman'],Common,3.8,['Totem'],
4,Battlecry :  Return a friendly minion from the battlefield to your hand ,5.0,4.0,['Neutral'],Common,2.6,,
6,At the start of your turn  put a 10-Cost minion from your deck into your hand ,4.0,6.0,['Neutral'],Epic,3.0,,
3,Battlecry : If you've cast three spells while holding this  deal 5 damage ,3.0,3.0,['Hunter'],Rare,4.0,['Naga'],
4,Battlecry :  Give adjacent minions Spell Damage +1 ,2.0,5.0,['Neutral'],Rare,2.1,,
2,Draw aSecret from your deck  It costs (0) ,,,['Mage'],Common,4.3,,Arcane
6,Taunt,3.0,8.0,['Neutral'],Common,2.1,,
7,Choose One - Draw two cards; or Restore 7 Health ,7.0,7.0,['Druid'],Epic,2.8,,
7,Choose One - +5 Attack; or +5 Health and Taunt ,5.0,5.0,['Druid'],Epic,4.4,,
4,Battlecry :  Shuffle an Ancient Curse into your deck that deals 7 damage to you when drawn ,7.0,4.0,['Neutral'],Rare,1.9,,
7,Battlecry :  If your C'Thun has at least 10 Attack  gain 10 Armor ,6.0,6.0,['Warrior'],Rare,4.4,,
9,At the end of your turn  steal 1 Attack and Health from all enemy minions ,10.0,10.0,"['Hunter', 'Demon Hunter']",Epic,3.0,['Demon'],
2,Can't Attack ,4.0,5.0,['Neutral'],Rare,2.8,,
6,Costs (1) if your hand is full ,8.0,6.0,['Warlock'],Legendary,2.6,['Demon'],
1,Enrage :  +5 Attack ,1.0,1.0,['Neutral'],Rare,2.5,['Beast'],
2,Whenever a friendly minion takes damage  give a random minion in your hand +1/+1 ,1.0,4.0,['Warrior'],Common,3.7,,
6,At the end of each turn  destroy this minion if it's your only one ,9.0,9.0,['Warlock'],Epic,2.3,['Mech'],
3,Summon a random Beast Companion ,,,['Hunter'],,4.7,,
1,Resurrect a friendly minion that costs (3) or less ,,,['Priest'],Rare,3.9,,Shadow
4,Your hero can only take 1 damage at a time ,4.0,4.0,['Mage'],Rare,3.2,,
7,Battlecry : If you played an Elemental last turn  summon a copy of this ,7.0,6.0,['Mage'],Common,3.9,['Elemental'],
1,Afteryou play a minion  deal 1 damage to it ,1.0,3.0,['Warrior'],Common,3.1,,
1,RushBattlecry : Give your other minionsRush ,1.0,1.0,['Neutral'],Common,3.6,,
5,Battlecry : Change eachDeathrattleminion in your hand into 1/1 that costs (1) ,5.0,5.0,['Rogue'],Legendary,3.6,,
4,MagneticDivine ShieldTaunt,2.0,4.0,['Paladin'],Rare,3.8,['Mech'],
2,TauntDivine Shield,1.0,2.0,['Neutral'],Common,4.2,['Mech'],
9,Taunt  Divine ShieldDeathrattle : Summon three 1/2 Mechs withTauntandDivine Shield ,3.0,6.0,['Paladin'],Epic,3.7,['Mech'],
